token,ticker,ticker_perp,unlock_date,unlock_ts_utc,unlock_pct_supply,unlock_amount_token,unlock_amount_usd_est,allocation_category,cliff_or_linear,source_url_1,source_url_2,cross_validated,notes
Arbitrum,ARB,ARBUSDT,2024-04-16,2024-04-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-04-19,2024-04-19T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-04-19,2024-04-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Sui,SUI,SUIUSDT,2024-05-01,2024-05-01T00:00:00+00:00,1.4753,147527473.19,,Community Reserves,linear,https://cryptorank.io/price/sui/vesting,https://tokenomist.ai/sui,False,partial_coverage_single_allocation
Aevo,AEVO,AEVOUSDT,2024-05-15,2024-05-15T00:00:00+00:00,10.3,103000000.0,,Remaining $RBN in Circulation,unknown,https://cryptorank.io/price/aevo/vesting,https://tokenomist.ai/aevo,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-05-16,2024-05-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-05-17,2024-05-17T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-05-19,2024-05-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-05-19,2024-05-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Pyth Network,PYTH,PYTHUSDT,2024-05-20,2024-05-20T00:00:00+00:00,11.2502,1125020000.0,,Ecosystem Growth,linear,https://cryptorank.io/price/pyth-network/vesting,https://tokenomist.ai/pyth-network,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-06-14,2024-06-14T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-06-16,2024-06-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-06-19,2024-06-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-06-19,2024-06-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
XAI,XAI,XAIUSDT,2024-07-09,2024-07-09T00:00:00+00:00,4.16,104000000.0,,Investors,linear,https://cryptorank.io/price/xai-games/vesting,https://tokenomist.ai/xai-games,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-07-12,2024-07-12T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-07-16,2024-07-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-07-19,2024-07-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-07-19,2024-07-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-08-09,2024-08-09T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-08-16,2024-08-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-08-19,2024-08-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-08-19,2024-08-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Ethena,ENA,ENAUSDT,2024-09-02,2024-09-02T00:00:00+00:00,5.721,858150000.0,,Ecosystem Incentives,linear,https://cryptorank.io/price/ethena/vesting,https://tokenomist.ai/ethena,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-09-06,2024-09-06T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-09-16,2024-09-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-09-19,2024-09-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-09-19,2024-09-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Immutable,IMX,IMXUSDT,2024-10-04,2024-10-04T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-10-16,2024-10-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-10-19,2024-10-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-10-19,2024-10-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Scroll,SCR,SCRUSDT,2024-10-22,2024-10-22T00:00:00+00:00,8.0,80000000.0,,Ecosystem & Growth,cliff,https://cryptorank.io/price/scroll/vesting,https://tokenomist.ai/scroll,False,tge
Immutable,IMX,IMXUSDT,2024-11-01,2024-11-01T00:00:00+00:00,0.7955,15910010.18,,Ecosystem Development,linear,https://cryptorank.io/price/immutable-x/vesting,https://tokenomist.ai/immutable-x,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2024-11-16,2024-11-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-11-19,2024-11-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-11-19,2024-11-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Hyperliquid,HYPE,HYPEUSDT,2024-11-29,2024-11-29T00:00:00+00:00,31.0,310000000.0,,Genesis Distribution,cliff,https://cryptorank.io/price/hyperliquid/vesting,https://tokenomist.ai/hyperliquid,False,tge
Arbitrum,ARB,ARBUSDT,2024-12-16,2024-12-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2024-12-19,2024-12-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2024-12-19,2024-12-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-01-16,2025-01-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Ondo Finance,ONDO,ONDOUSDT,2025-01-18,2025-01-18T00:00:00+00:00,7.9192,792052170.84,,Ecosystem Growth,linear,https://cryptorank.io/price/ondo-finance/vesting,https://tokenomist.ai/ondo-finance,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-01-19,2025-01-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-01-19,2025-01-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-01-25,2025-01-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-02-16,2025-02-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-02-19,2025-02-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-02-19,2025-02-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-02-25,2025-02-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-03-16,2025-03-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-03-19,2025-03-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-03-19,2025-03-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-03-25,2025-03-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-03-29,2025-03-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Wormhole,W,WUSDT,2025-04-03,2025-04-03T00:00:00+00:00,6.5001,650008000.0,,Ecosystem & Incubation,linear,https://cryptorank.io/price/wormhole/vesting,https://tokenomist.ai/wormhole,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-04-15,2025-04-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-04-16,2025-04-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-04-19,2025-04-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-04-19,2025-04-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-04-25,2025-04-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-04-29,2025-04-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-04-30,2025-04-30T00:00:00+00:00,3.156,315600000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-05-13,2025-05-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-05-15,2025-05-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-05-16,2025-05-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-05-19,2025-05-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-05-19,2025-05-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
Pyth Network,PYTH,PYTHUSDT,2025-05-20,2025-05-20T00:00:00+00:00,11.2502,1125020000.0,,Ecosystem Growth,linear,https://cryptorank.io/price/pyth-network/vesting,https://tokenomist.ai/pyth-network,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-05-25,2025-05-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-05-29,2025-05-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-05-30,2025-05-30T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-06-13,2025-06-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-06-15,2025-06-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-06-16,2025-06-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-06-19,2025-06-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-06-19,2025-06-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
zkSync,ZK,ZKUSDT,2025-06-19,2025-06-19T00:00:00+00:00,1.9784,415464200.6,,Investors,linear,https://cryptorank.io/price/zksync/vesting,https://tokenomist.ai/zksync,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-06-20,2025-06-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-06-25,2025-06-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-06-29,2025-06-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-06-30,2025-06-30T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-07-13,2025-07-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-07-15,2025-07-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-07-16,2025-07-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-07-19,2025-07-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-07-19,2025-07-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-07-20,2025-07-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-07-25,2025-07-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-07-29,2025-07-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-07-31,2025-07-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-08-13,2025-08-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-08-15,2025-08-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
Arbitrum,ARB,ARBUSDT,2025-08-16,2025-08-16T00:00:00+00:00,0.5612,56116020.0,,Team & Advisors,linear,https://cryptorank.io/price/arbitrum/vesting,https://tokenomist.ai/arbitrum,False,partial_coverage_single_allocation
Merlin Chain,MERL,MERLUSDT,2025-08-19,2025-08-19T00:00:00+00:00,0.8332,17497200.0,,Ecosystem,linear,https://cryptorank.io/price/merlin-chain/vesting,https://tokenomist.ai/merlin-chain,False,partial_coverage_single_allocation
Pixels,PIXEL,PIXELUSDT,2025-08-19,2025-08-19T00:00:00+00:00,0.5573,27863000.0,,Ecosystem Rewards,linear,https://cryptorank.io/price/pixels/vesting,https://tokenomist.ai/pixels,False,partial_coverage_single_allocation
LayerZero,ZRO,ZROUSDT,2025-08-20,2025-08-20T00:00:00+00:00,1.3418,13417740.0,,Strategic Partners,linear,https://cryptorank.io/price/layerzero/vesting,https://tokenomist.ai/layerzero,False,partial_coverage_single_allocation
AltLayer,ALT,ALTUSDT,2025-08-25,2025-08-25T00:00:00+00:00,0.5227,52266500.0,,Foundation/Treasury,linear,https://cryptorank.io/price/altlayer/vesting,https://tokenomist.ai/altlayer,False,partial_coverage_single_allocation
Portal,PORTAL,PORTALUSDT,2025-08-29,2025-08-29T00:00:00+00:00,1.173,11730000.0,,Team & Advisors,linear,https://cryptorank.io/price/portal-coin/vesting,https://tokenomist.ai/portal-coin,False,partial_coverage_single_allocation
Renzo,REZ,REZUSDT,2025-08-31,2025-08-31T00:00:00+00:00,2.367,236700000.0,,Investors,linear,https://cryptorank.io/price/renzo-protocol/vesting,https://tokenomist.ai/renzo-protocol,False,partial_coverage_single_allocation
BounceBit,BB,BBUSDT,2025-09-13,2025-09-13T00:00:00+00:00,1.05,22050000.0,,Investors,linear,https://cryptorank.io/price/bouncebit/vesting,https://tokenomist.ai/bouncebit,False,partial_coverage_single_allocation
StarkNet,STRK,STRKUSDT,2025-09-15,2025-09-15T00:00:00+00:00,0.6692,66921576.0,,Early Contributors,linear,https://cryptorank.io/price/starknet/vesting,https://tokenomist.ai/starknet,False,partial_coverage_single_allocation
